City,Latitude,Longitude
London,51.514248,-0.093145
Birmingham,52.466667,-1.916667
Manchester,53.5,-2.216667
Leeds,53.8,-1.583333
Sheffield,53.366667,-1.5
Glasgow,55.833333,-4.25
Newcastle upon Tyne,54.988056,-1.619444
Nottingham,52.966667,-1.166667
Liverpool,53.416667,-3.0
Southend-on-Sea,51.533333,0.7
Bristol,51.45,-2.583333
Edinburgh,55.95,-3.2
Brighton,50.833333,-0.15
Bradford,53.783333,-1.75
Leicester,52.633333,-1.133333
Sunderland,54.911944,-1.383333
Belfast,54.6,-5.933333
Portsmouth,50.766667,-1.083333
Bournemouth,50.716667,-1.883333
Middlesbrough,54.572778,-1.162778
Coventry,52.416667,-1.55
Southampton,50.9,-1.4
Reading,51.433333,-1.0
Sutton on Hull,53.783333,-0.316667
Blackpool,53.816667,-3.05
Plymouth,50.396389,-4.138611
Luton,51.883333,-0.416667
Oxford,51.75,-1.25
Norwich,52.633333,1.3
Old Aberdeen,57.166667,-2.1
York,53.966667,-1.083333
Dundee,56.5,-2.966667
Ipswich,52.083333,1.166667
Peterborough,52.583333,-0.25
Cambridge,52.2,0.116667
Exminster,50.683333,-3.483333
Bath,51.379444,-2.365556
Chester,53.2,-2.916667
Greenock,55.933333,-4.75
Carlisle,54.883333,-2.933333
Scarborough,54.287222,-0.414167
Ayr,55.45,-4.616667
Inverness,57.466667,-4.233333
Perth,56.4,-3.433333
River,51.133333,1.266667
Dumfries,55.066667,-3.55
Omagh,54.60124,-7.29085
Penzance,50.113611,-5.547778
Fort William,56.816667,-5.116667
Kirkwall,58.966667,-2.95
Wick,58.433333,-3.083333
Lerwick,60.15,-1.15
Ilford,51.559666,0.070805
Chelmsford,51.733333,0.483333
Weston-super-Mare,51.345833,-2.967778
Llangefni,53.266667,-4.333333
Southport,53.666667,-3.0
Armagh,54.34812,-6.64957
Rochester,51.383333,0.516667
Rochdale,53.616667,-2.15
Motherwell,55.783333,-4.0
Clydach Vale,51.626667,-3.476111
Kirkintilloch,55.916667,-4.166667
Stirling,56.116667,-3.95
Lambeth,51.5,-0.116667
Dungannon,54.50333,-6.76427
Huddersfield,53.65,-1.783333
Stretford,53.45,-2.316667
Preston,53.766667,-2.716667
Newbury,51.4,-1.316667
Rhuthun,53.116667,-3.3
Blackburn,53.75,-2.483333
Wood Green,51.6,-0.116667
Stafford,52.8,-2.1
Gloucester,51.833333,-2.25
Glenrothes,56.2,-3.183333
South Bank,54.566667,-1.15
Pont-y-pŵl,51.701111,-3.044444
Durham,54.766667,-1.566667
Bedford,52.133333,-0.45
Taunton,51.021111,-3.104722
Widnes,53.35,-2.733333
Uxbridge,51.55,-0.483333
Elgin,57.65,-3.333333
Hove,50.833333,-0.183333
Lewes,50.866667,-0.016667
Maidstone,51.266667,0.516667
Llandrindod Wells,52.233333,-3.383333
Kingston upon Hull,53.716667,-0.333333
Kingston upon Thames,51.416667,-0.283333
Barri,51.406667,-3.269444
Giffnock,55.8,-4.283333
Hounslow,51.466667,-0.35
Derry,54.99899,-7.31063
Newtownabbey,54.66912,-5.904435
Forfar,56.65,-2.883333
Torquay,50.45,-3.5
East Ham,51.533333,0.05
Solihull,52.416667,-1.783333
Poplar,51.5,-0.016667
Mold,53.166667,-3.133333
Warwick,52.283333,-1.583333
Knowsley,53.45,-2.85
Hwlffordd,51.801667,-4.970833
Rotherham,53.433333,-1.35
Caernarfon,53.15,-4.266667
Morpeth,55.166667,-1.683333
Irvine,55.6,-4.666667
Cwmbran,51.653056,-3.026667
Stornoway,58.216667,-6.366667
Darlington,54.533333,-1.566667
Hackney,51.55,-0.05
